Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NFL,Classic,3966474186,NFL $5 3-Player (Winner Takes All) by AMPShark4 (Sun-Mon) #7,152176778,10/15/2023 13:00,1,168.24,13.50,0.00,3.00,5.00,13.50,1
NFL,Classic,3966339703,Beginner NFL $1K First Down (2/5),152058730,10/15/2023 13:00,3,176.74,50.00,0.00,652.00,1.00,1000.00,285
NFL,Classic,3966339705,Beginner NFL $1K First Down (4/5),152058730,10/15/2023 13:00,43,158.64,3.00,0.00,652.00,1.00,1000.00,285
NFL,Classic,3966339704,Beginner NFL $1K First Down (3/5),152058730,10/15/2023 13:00,45,158.34,3.00,0.00,652.00,1.00,1000.00,285
NFL,Classic,3966339706,Beginner NFL $1K First Down (5/5),152058730,10/15/2023 13:00,45,158.34,3.00,0.00,652.00,1.00,1000.00,285
NFL,Classic,3966339702,Beginner NFL $1K First Down (1/5),152058730,10/15/2023 13:00,276,132.34,1.50,0.00,652.00,1.00,1000.00,285
NFL,Classic,3966338625,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (1/20)",152030904,10/15/2023 13:00,184035,132.34,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338639,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (15/20)",152030904,10/15/2023 13:00,148703,137.04,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338640,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (16/20)",152030904,10/15/2023 13:00,151683,136.64,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338634,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (10/20)",152030904,10/15/2023 13:00,110240,142.74,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338637,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (13/20)",152030904,10/15/2023 13:00,78859,148.04,5.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338642,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (18/20)",152030904,10/15/2023 13:00,108923,142.94,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338644,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (20/20)",152030904,10/15/2023 13:00,50481,153.94,6.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338631,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (7/20)",152030904,10/15/2023 13:00,64669,150.74,5.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338633,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (9/20)",152030904,10/15/2023 13:00,28998,160.34,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338628,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (4/20)",152030904,10/15/2023 13:00,34023,158.64,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338627,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (3/20)",152030904,10/15/2023 13:00,34960,158.34,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338629,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (5/20)",152030904,10/15/2023 13:00,34960,158.34,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338632,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (8/20)",152030904,10/15/2023 13:00,1296,185.42,25.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338641,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (17/20)",152030904,10/15/2023 13:00,2676,180.64,20.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338626,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (2/20)",152030904,10/15/2023 13:00,4511,176.74,15.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338630,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (6/20)",152030904,10/15/2023 13:00,12886,168.24,10.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338643,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (19/20)",152030904,10/15/2023 13:00,16685,165.84,10.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338636,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (12/20)",152030904,10/15/2023 13:00,19738,164.24,10.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338635,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (11/20)",152030904,10/15/2023 13:00,24201,162.24,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3966338638,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (14/20)",152030904,10/15/2023 13:00,24201,162.24,8.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3952954570,NFL $5 3-Player (Winner Takes All) by AMPShark4 (Sun-Mon) #6,151747955,10/8/2023 13:00,3,118.26,0.00,0.00,3.00,5.00,13.50,1
NFL,Classic,3953151237,Beginner NFL $2K Play-Action (4/4),151634927,10/8/2023 13:00,89,157.74,6.00,0.00,406.00,3.00,2000.00,176
NFL,Classic,3953151235,Beginner NFL $2K Play-Action (2/4),151634927,10/8/2023 13:00,147,148.06,6.00,0.00,406.00,3.00,2000.00,176
NFL,Classic,3953151236,Beginner NFL $2K Play-Action (3/4),151634927,10/8/2023 13:00,171,143.76,6.00,0.00,406.00,3.00,2000.00,176
NFL,Classic,3953151234,Beginner NFL $2K Play-Action (1/4),151634927,10/8/2023 13:00,245,133.26,0.00,0.00,406.00,3.00,2000.00,176
NFL,Classic,3953334903,Beginner NFL $1K First Down (4/5),151634928,10/8/2023 13:00,168,155.74,1.50,0.00,666.00,1.00,1000.00,285
NFL,Classic,3953334901,Beginner NFL $1K First Down (2/5),151634928,10/8/2023 13:00,216,150.26,1.50,0.00,666.00,1.00,1000.00,285
NFL,Classic,3953334902,Beginner NFL $1K First Down (3/5),151634928,10/8/2023 13:00,261,143.76,1.50,0.00,666.00,1.00,1000.00,285
NFL,Classic,3953334900,Beginner NFL $1K First Down (1/5),151634928,10/8/2023 13:00,362,133.26,0.00,0.00,666.00,1.00,1000.00,285
NFL,Classic,3953334904,Beginner NFL $1K First Down (5/5),151634928,10/8/2023 13:00,572,109.64,0.00,0.00,666.00,1.00,1000.00,285
NFL,Classic,3953157547,Beginner NFL 10x Booster [Top 10 Win $50],151610047,10/8/2023 13:00,25,155.74,0.00,0.00,108.00,5.00,500.00,10
NFL,Classic,3949214117,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (19/20)",151596211,10/8/2023 13:00,381616,109.64,0.00,0.00,440392.00,3.00,1111111.00,108622
NFL,Classic,3949214114,"NFL $1.11M Play-Action [$100K to 1st, 20 Entry Max] (16/20)",151596211,10/8/2023 13:00,342733,118.34,0.00,0.00,440392.00,3.00,1111111.00,108622
