,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DST,Tot Exp Pts,Tot FP High,Tot FP Low,Tot Range,FLEX_type,QB_team,RB1_team,RB2_team,WR1_team,WR2_team,WR3_team,TE_team,FLEX_team,DST_team,wr_matching_count,rb_matching_count,te_matching_count,flex_matching_count,adj_rb_matching_count,sum_of_matching_counts
5226482,Patrick Mahomes II,Alvin Kamara,Josh Jacobs,Jerry Jeudy,Cooper Kupp,Ja'Marr Chase,Darren Waller,Joe Mixon,Atlanta Falcons,129.3,173.8,122.2,51.6,RB,KC,NO,LV,DEN,LA,CIN,NYG,CIN,ATL,0,0,0,0,0,0
6238832,Tua Tagovailoa,Alvin Kamara,Josh Jacobs,DeAndre Hopkins,Cooper Kupp,Tyreek Hill,Darren Waller,Joe Mixon,Atlanta Falcons,128.7,172.9,123.3,49.6,RB,MIA,NO,LV,TEN,LA,MIA,NYG,CIN,ATL,1,0,0,0,0,1
5226507,Josh Allen,Alvin Kamara,Josh Jacobs,Jerry Jeudy,Cooper Kupp,Ja'Marr Chase,Darren Waller,Joe Mixon,Atlanta Falcons,128.6,173.5,122.7,50.8,RB,BUF,NO,LV,DEN,LA,CIN,NYG,CIN,ATL,0,0,0,0,0,0
6589657,Trevor Lawrence,Alvin Kamara,Tony Pollard,DeAndre Hopkins,Ja'Marr Chase,Tyreek Hill,Darren Waller,Joe Mixon,Atlanta Falcons,128.1,172.8,122.1,50.7,RB,JAC,NO,DAL,TEN,CIN,MIA,NYG,CIN,ATL,0,0,0,0,0,0
5250457,Trevor Lawrence,Alvin Kamara,Tony Pollard,Jerry Jeudy,Cooper Kupp,Ja'Marr Chase,T.J. Hockenson,Joe Mixon,Atlanta Falcons,128,175,121.4,53.6,RB,JAC,NO,DAL,DEN,LA,CIN,MIN,CIN,ATL,0,0,0,0,0,0
5226479,Patrick Mahomes II,Alvin Kamara,Josh Jacobs,Jerry Jeudy,Cooper Kupp,Ja'Marr Chase,Darren Waller,Joe Mixon,Miami Dolphins,128,173.4,120.8,52.6,RB,KC,NO,LV,DEN,LA,CIN,NYG,CIN,MIA,0,0,0,0,0,0
5563882,Jalen Hurts,Alvin Kamara,Josh Jacobs,Michael Thomas,Cooper Kupp,Tyreek Hill,Darren Waller,Joe Mixon,Atlanta Falcons,128,173.4,120.9,52.5,RB,PHI,NO,LV,NO,LA,MIA,NYG,CIN,ATL,0,0,0,0,0,0
3265607,Patrick Mahomes II,Joe Mixon,Alvin Kamara,Michael Thomas,DeAndre Hopkins,Cooper Kupp,Mark Andrews,Ja'Marr Chase,Atlanta Falcons,127.8,174.6,121.1,53.5,WR,KC,CIN,NO,NO,TEN,LA,BAL,CIN,ATL,0,0,0,0,0,0
7237657,Trevor Lawrence,Alvin Kamara,Josh Jacobs,Cooper Kupp,Davante Adams,Ja'Marr Chase,Darren Waller,Rachaad White,Atlanta Falcons,127.8,174.4,122.5,51.9,RB,JAC,NO,LV,LA,LV,CIN,NYG,TB,ATL,0,0,0,0,0,0
6913657,Trevor Lawrence,Alvin Kamara,Josh Jacobs,Adam Thielen,Ja'Marr Chase,Tyreek Hill,Darren Waller,Joe Mixon,Atlanta Falcons,127.8,173.9,121.7,52.2,RB,JAC,NO,LV,CAR,CIN,MIA,NYG,CIN,ATL,0,0,0,0,0,0
